years lost manner start military age conflict loginc growth pop land literacy region
6 0 0 981 0 46 1 5.5214609179 -0.5 7.3 196 10 1
0 3 0 976 0 37 0 6.4134589572 3.4 0.07 0.5 60 1
10 0 1 977 0 42 0 6.4134589572 3.4 0.07 0.5 60 1
3 2 0 961 0 65 1 5.0751738152 1.1 4 72 15 1
2 1 0 964 0 54 1 5.0751738152 1.1 4 72 15 1
0 3 1 967 1 45 1 5.0751738152 1.1 4 72 15 1
1 3 1 967 1 36 1 5.0751738152 1.1 4 72 15 1
17 1 0 968 0 63 1 5.0751738152 1.1 4 72 15 1
2 0 0 985 1 48 1 5.0751738152 1.1 4 72 15 1
3 1 0 960 0 41 0 4.3820266347 -0.8 8 638 60 1
3 1 0 964 0 40 0 4.3820266347 -0.8 8 638 60 1
18 0 1 969 1 48 0 4.3820266347 -0.8 8 638 60 1
12 1 0 966 0 46 1 6.9565454432 1.6 35 1221 65 1
9 0 0 978 0 62 1 6.9565454432 1.6 35 1221 65 1
14 2 0 968 0 69 1 5.7990926545 2.6 0.7 17 65 1
2 3 1 961 0 37 1 5.7990926545 2.6 0.7 17 65 1
1 0 0 986 0 18 1 5.7990926545 2.6 0.7 17 65 1
24 1 0 961 0 39 0 4.8675344505 0.9 24 945 79 1
2 0 0 985 0 60 0 4.8675344505 0.9 24 945 79 1
2 3 0 960 0 58 1 5.1929568509 1.1 3.3 57 18 1
3 3 1 963 0 50 1 5.1929568509 1.1 3.3 57 18 1
20 0 1 967 1 30 1 5.1929568509 1.1 3.3 57 18 1
8 3 0 962 0 37 1 5.0106352941 -4.4 16 236 52 1
8 3 1 971 1 46 1 5.0106352941 -4.4 16 236 52 1
0 3 1 979 0 67 1 5.0106352941 -4.4 16 236 52 1
0 3 0 979 0 59 1 5.0106352941 -4.4 16 236 52 1
0 3 1 985 1 72 1 5.0106352941 -4.4 16 236 52 1
0 0 1 986 1 43 1 5.0106352941 -4.4 16 236 52 1
5 3 0 960 0 39 1 4.248495242 1.4 8.5 274 7 1
14 3 1 966 1 50 1 4.248495242 1.4 8.5 274 7 1
1 3 1 980 1 48 1 4.248495242 1.4 8.5 274 7 1
0 3 1 982 1 44 1 4.248495242 1.4 8.5 274 7 1
4 3 1 983 1 34 1 4.248495242 1.4 8.5 274 7 1
0 0 1 987 1 38 1 4.248495242 1.4 8.5 274 7 1
5 3 0 960 0 43 1 4.248495242 -1.3 33 2345 40 1
1 3 0 960 0 35 1 4.248495242 -1.3 33 2345 40 1
0 1 1 960 1 30 1 4.248495242 -1.3 33 2345 40 1
0 3 1 960 0 42 1 4.248495242 -1.3 33 2345 40 1
2 3 1 961 0 40 1 4.248495242 -1.3 33 2345 40 1
1 3 0 960 0 35 1 4.248495242 -1.3 33 2345 40 1
1 3 1 964 0 45 1 4.248495242 -1.3 33 2345 40 1
0 3 0 965 0 39 1 4.248495242 -1.3 33 2345 40 1
23 0 0 964 0 40 1 6.0637852087 -1.3 7.5 752 54 1
0 3 0 963 0 33 0 4.8675344505 0.9 0.01 2.4 79 1
0 1 1 964 0 59 0 4.8675344505 0.9 0.01 2.4 79 1
7 0 0 980 0 56 1 6.0637852087 1.5 9.7 391 50 1
2 3 0 962 0 43 1 6.3456363608 3.6 24 2381 52 0
12 2 1 965 1 40 1 6.3456363608 3.6 24 2381 52 0
8 0 0 979 1 50 1 6.3456363608 3.6 24 2381 52 0
16 0 0 971 0 38 1 7.668561108 2.1 0.5 0.6 40 0
11 3 0 970 1 52 1 5.5214609179 4.2 53 1001 45 0
6 0 0 981 1 53 1 5.5214609179 4.2 53 1001 45 0
8 0 1 979 0 79 1 6.7684932116 4.2 51 1648 48 0
3 2 1 963 1 49 1 6.7452363495 7.6 18 435 55 0
2 3 0 966 0 50 1 6.7452363495 7.6 18 435 55 0
11 1 1 968 1 56 1 6.7452363495 7.6 18 435 55 0
8 0 0 979 1 42 1 6.7452363495 7.6 18 435 55 0
6 2 0 963 0 68 1 8.0096953577 2.9 4.3 20 80 0
5 1 0 969 0 71 1 8.0096953577 2.9 4.3 20 80 0
3 1 0 974 0 52 1 8.0096953577 2.9 4.3 20 80 0
0 1 0 979 0 56 1 8.0096953577 2.9 4.3 20 80 0
4 1 0 979 0 66 1 8.0096953577 2.9 4.3 20 80 0
0 1 0 983 0 68 1 8.0096953577 2.9 4.3 20 80 0
4 2 0 961 0 66 0 9.3968199389 0.2 2 18 71 0
12 2 0 965 0 51 0 9.3968199389 0.2 2 18 71 0
10 0 0 977 0 47 0 9.3968199389 0.2 2 18 71 0
6 1 0 964 0 53 1 6.8458798753 -6 2.7 10 75 0
6 1 0 970 0 60 1 6.8458798753 -6 2.7 10 75 0
6 1 0 976 0 52 1 6.8458798753 -6 2.7 10 75 0
0 3 0 982 0 34 1 6.8458798753 -6 2.7 10 75 0
5 0 0 982 0 40 1 6.8458798753 -6 2.7 10 75 0
18 0 1 969 1 27 0 8.1690531499 -0.9 4 1760 55 0
26 0 0 961 0 32 1 5.7683209958 2.9 25 447 28 0
17 0 0 970 0 30 1 6.7334018918 6.5 1.3 212 20 0
1 3 0 971 0 54 0 9.3413686344 -7 0.3 11 40 0
15 0 0 972 0 35 0 9.3413686344 -7 0.3 11 40 0
11 3 0 964 0 19 0 7.383989458 6.7 15 2149 52 0
7 2 0 975 0 61 0 7.383989458 6.7 15 2149 52 0
5 0 0 982 0 32 0 7.383989458 6.7 15 2149 52 0
1 1 0 965 0 57 1 4.8675344505 1.3 24 2506 20 0
0 1 0 966 0 30 1 4.8675344505 1.3 24 2506 20 0
16 3 1 969 1 39 1 4.8675344505 1.3 24 2506 20 0
0 3 1 961 0 47 1 5.9914645471 4.9 12 185 47 0
0 3 1 961 1 . 1 5.9914645471 4.9 12 185 47 0
1 3 0 961 0 55 1 5.9914645471 4.9 12 185 47 0
0 1 1 962 1 . 1 5.9914645471 4.9 12 185 47 0
0 3 1 963 1 37 1 5.9914645471 4.9 12 185 47 0
3 3 1 963 1 52 1 5.9914645471 4.9 12 185 47 0
4 3 0 966 1 37 1 5.9914645471 4.9 12 185 47 0
17 0 1 970 1 42 1 5.9914645471 4.9 12 185 47 0
0 0 1 987 1 51 1 6.1312264895 5 8 164 62 0
1 1 1 960 1 65 0 6.3969296552 3 54 781 70 0
6 3 0 965 0 41 0 6.3969296552 3 54 781 70 0
2 1 1 971 1 71 0 6.3969296552 3 54 781 70 0
0 1 0 974 0 48 0 6.3969296552 3 54 781 70 0
0 1 0 974 0 70 0 6.3969296552 3 54 781 70 0
4 1 1 979 1 61 0 6.3969296552 3 54 781 70 0
4 0 0 983 0 56 0 6.3969296552 3 54 781 70 0
1 3 0 961 0 33 1 5.5214609179 5.7 6.7 195 15 0
5 3 1 962 1 45 1 5.5214609179 5.7 6.7 195 15 0
7 3 0 967 0 32 1 5.5214609179 5.7 6.7 195 15 0
3 3 1 974 1 29 1 5.5214609179 5.7 6.7 195 15 0
1 3 0 977 1 . 1 5.5214609179 5.7 6.7 195 15 0
9 0 1 978 1 36 1 5.5214609179 5.7 6.7 195 15 0
2 3 0 967 0 . 0 5.6347896032 6 2.4 333 25 0
7 3 0 971 0 37 0 5.6347896032 6 2.4 333 25 0
0 1 1 978 0 . 0 5.6347896032 6 2.4 333 25 0
2 1 0 978 0 41 0 5.6347896032 6 2.4 333 25 0
6 3 0 980 0 41 0 5.6347896032 6 2.4 333 25 0
1 0 1 986 0 47 0 5.6347896032 6 2.4 333 25 0
16 0 0 971 0 55 0 9.5460980677 -1.2 2 84 68 0
10 3 1 963 0 43 1 4.4998096703 0.5 14 648 12 2
0 3 1 978 0 61 1 4.4998096703 0.5 14 648 12 2
0 3 0 979 0 50 1 4.4998096703 0.5 14 648 12 2
7 3 1 979 0 50 1 4.4998096703 0.5 14 648 12 2
1 0 1 986 1 39 1 4.4998096703 0.5 14 648 12 2
3 3 0 971 0 51 1 4.3820266347 0.5 109 144 29 2
0 3 1 975 0 56 1 4.3820266347 0.5 109 144 29 2
0 3 1 975 1 . 1 4.3820266347 0.5 109 144 29 2
2 3 1 975 0 59 1 4.3820266347 0.5 109 144 29 2
3 3 1 978 1 42 1 4.3820266347 0.5 109 144 29 2
0 3 0 981 0 75 1 4.3820266347 0.5 109 144 29 2
5 0 1 982 1 52 1 4.3820266347 0.5 109 144 29 2
15 0 0 972 0 17 0 4.248495242 0.1 1.5 47 5 2
20 0 0 967 0 22 0 9.3413686344 7.4 0.3 6 45 2
1 1 0 976 0 56 1 4.7874917428 4.4 1088 9596 75 2
9 0 0 978 0 74 1 4.7874917428 4.4 1088 9596 75 2
17 1 0 970 0 50 1 6.4769723629 3.4 0.74 18 80 2
0 3 0 987 0 52 1 6.4769723629 3.4 0.74 18 80 2
0 1 1 987 1 38 1 6.4769723629 3.4 0.74 18 80 2
0 3 0 987 0 69 1 6.4769723629 3.4 0.74 18 80 2
4 1 0 960 0 61 0 8.1969879273 4.8 122 372 99 2
8 1 0 964 0 63 0 8.1969879273 4.8 122 372 99 2
2 1 0 972 0 54 0 8.1969879273 4.8 122 372 99 2
2 1 0 974 0 67 0 8.1969879273 4.8 122 372 99 2
2 1 0 976 0 71 0 8.1969879273 4.8 122 372 99 2
2 2 0 978 0 68 0 8.1969879273 4.8 122 372 99 2
2 1 0 980 0 69 0 8.1969879273 4.8 122 372 99 2
5 1 0 982 0 65 0 8.1969879273 4.8 122 372 99 2
0 0 0 987 0 63 0 8.1969879273 4.8 122 372 99 2
1 2 0 964 0 60 1 4.7874917428 1.5 816 3288 36 2
11 1 0 966 0 49 1 4.7874917428 1.5 816 3288 36 2
2 1 0 977 0 81 1 4.7874917428 1.5 816 3288 36 2
0 1 0 979 0 77 1 4.7874917428 1.5 816 3288 36 2
3 0 0 984 0 40 1 4.7874917428 1.5 816 3288 36 2
21 0 1 966 1 46 1 4.8675344505 5 184 1919 62 2
5 3 1 970 1 57 0 4.248495242 -6.8 7 181 48 2
3 0 1 975 0 47 0 4.248495242 -6.8 7 181 48 2
8 0 1 979 1 44 0 4.248495242 -6.8 7 181 48 2
3 1 0 979 0 29 1 5.8141305318 1.3 0.01 0.7 90 2
0 1 0 982 0 . 1 5.8141305318 1.3 0.01 0.7 90 2
0 1 1 960 0 64 1 5.9914645471 6.7 43 98 95 2
0 1 0 960 0 63 1 5.9914645471 6.7 43 98 95 2
18 3 0 961 0 60 1 5.9914645471 6.7 43 98 95 2
0 1 0 979 0 60 1 5.9914645471 6.7 43 98 95 2
8 0 1 979 1 48 1 5.9914645471 6.7 43 98 95 2
1 1 1 960 0 48 1 4.0943445622 3.1 4 236 85 2
1 1 1 964 1 . 1 4.0943445622 3.1 4 236 85 2
12 0 1 975 0 55 1 4.0943445622 3.1 4 236 85 2
5 2 0 970 0 48 1 6.3456363608 4.5 16 330 65 2
5 1 0 976 0 51 1 6.3456363608 4.5 16 330 65 2
6 0 0 981 0 55 1 6.3456363608 4.5 16 330 65 2
13 3 1 965 0 39 0 4.7874917428 1.4 0.2 0.3 36 2
9 0 1 978 0 38 0 4.7874917428 1.4 0.2 0.3 36 2
3 0 0 984 0 58 1 6.7569323892 3.6 2 1565 80 2
8 1 0 968 0 45 0 5.8141305318 1.3 0.008 0.02 99 2
2 1 0 976 0 30 0 5.8141305318 1.3 0.008 0.02 99 2
0 1 0 978 0 55 0 5.8141305318 1.3 0.008 0.02 99 2
0 1 0 986 0 . 0 5.8141305318 1.3 0.008 0.02 99 2
15 0 0 972 0 37 1 4.4998096703 0.1 18 140 20 2
5 1 0 975 0 39 0 6.0161571597 0.9 3.6 461 32 2
2 1 0 980 0 40 0 6.0161571597 0.9 3.6 461 32 2
2 0 0 985 0 34 0 6.0161571597 0.9 3.6 461 32 2
2 1 0 969 1 52 1 4.7874917428 2.5 107 803 26 2
5 3 0 971 0 43 1 4.7874917428 2.5 107 803 26 2
10 0 1 977 1 53 1 4.7874917428 2.5 107 803 26 2
4 1 0 961 0 51 1 5.6347896032 2.9 63 300 88 2
20 1 0 965 0 48 1 5.6347896032 2.9 63 300 88 2
1 0 1 986 0 53 1 5.6347896032 2.9 63 300 88 2
24 0 0 963 0 40 0 7.5120712458 7.8 2.6 0.6 86 2
3 1 0 978 0 35 1 5.8141305318 1.3 0.3 28 60 2
3 1 0 981 0 38 1 5.8141305318 1.3 0.3 28 60 2
1 0 0 986 0 . 1 5.8141305318 1.3 0.3 28 60 2
5 1 0 960 0 54 1 4.7874917428 2.9 17 66 87 2
10 0 0 977 0 71 1 4.7874917428 2.9 17 66 87 2
12 0 0 975 1 65 1 6.492239835 4.6 20 35 94 2
10 1 0 963 1 52 1 5.598421959 4.3 54 514 82 2
1 1 0 973 0 66 1 5.598421959 4.3 54 514 82 2
0 1 0 975 0 70 1 5.598421959 4.3 54 514 82 2
1 1 0 975 0 64 1 5.598421959 4.3 54 514 82 2
1 3 1 976 1 . 1 5.598421959 4.3 54 514 82 2
2 3 1 977 1 60 1 5.598421959 4.3 54 514 82 2
7 0 0 980 1 60 1 5.598421959 4.3 54 514 82 2
22 0 0 965 0 47 0 5.8141305318 1.3 0.1 0.7 95 2
3 1 0 978 0 36 0 5.8141305318 1.3 0.08 0.03 45 2
6 1 0 981 0 . 0 5.8141305318 1.3 0.08 0.03 45 2
8 0 0 979 0 45 1 5.8141305318 1.3 0.08 0.03 45 2
17 2 0 969 0 61 1 4.248495242 -6 65 330 78 2
0 1 0 986 0 79 1 4.248495242 -6 65 330 78 2
1 0 0 986 0 73 1 4.248495242 -6 65 330 78 2
0 3 1 963 1 47 1 5.0751738152 -3 65 330 78 2
1 3 1 964 1 37 1 5.0751738152 -3 65 330 78 2
0 3 1 965 0 62 1 5.0751738152 -3 65 330 78 2
0 3 1 965 1 38 1 5.0751738152 -3 65 330 78 2
10 3 1 965 1 42 1 5.0751738152 -3 65 330 78 2
8 1 0 962 0 41 0 5.8579331545 1.3 0.18 2.9 90 2
3 1 0 970 0 48 0 5.8579331545 1.3 0.18 2.9 90 2
6 1 0 976 0 58 0 5.8579331545 1.3 0.18 2.9 90 2
0 1 0 982 0 . 0 5.8579331545 1.3 0.18 2.9 90 2
3 1 0 982 0 58 0 5.8579331545 1.3 0.18 2.9 90 2
6 0 0 981 0 70 0 6.6066501862 -0.4 0.08 0.44 90 3
1 1 0 962 0 52 0 7.4024515208 0.5 30.5 2767 94 3
3 3 0 963 0 63 0 7.4024515208 0.5 30.5 2767 94 3
4 3 1 966 1 52 0 7.4024515208 0.5 30.5 2767 94 3
0 3 1 970 1 50 0 7.4024515208 0.5 30.5 2767 94 3
2 1 1 971 1 53 0 7.4024515208 0.5 30.5 2767 94 3
0 1 0 973 0 57 0 7.4024515208 0.5 30.5 2767 94 3
2 3 0 974 0 43 0 7.4024515208 0.5 30.5 2767 94 3
4 1 1 976 1 51 0 7.4024515208 0.5 30.5 2767 94 3
1 1 0 980 1 55 0 7.4024515208 0.5 30.5 2767 94 3
0 1 0 981 1 54 0 7.4024515208 0.5 30.5 2767 94 3
1 1 0 982 0 54 0 7.4024515208 0.5 30.5 2767 94 3
4 0 0 983 0 58 0 7.4024515208 0.5 30.5 2767 94 3
20 0 0 967 0 36 0 8.1047034684 -1.8 0.23 14 95 3
10 1 0 966 0 46 0 6.907755279 3.8 0.25 0.43 99 3
9 2 0 976 0 44 0 6.907755279 3.8 0.25 0.43 99 3
1 1 0 985 0 53 0 6.907755279 3.8 0.25 0.43 99 3
0 0 0 987 0 50 0 6.907755279 3.8 0.25 0.43 99 3
3 1 0 981 0 62 1 6.6200732065 3.6 0.16 23 93 3
3 0 0 984 0 43 1 6.6200732065 3.6 0.16 23 93 3
0 3 1 964 1 42 1 5.4380793089 0.6 6.4 1099 63 3
0 3 1 965 1 47 1 5.4380793089 0.6 6.4 1099 63 3
0 3 0 969 0 44 1 5.4380793089 0.6 6.4 1099 63 3
0 3 1 970 1 49 1 5.4380793089 0.6 6.4 1099 63 3
7 3 1 971 1 45 1 5.4380793089 0.6 6.4 1099 63 3
0 3 1 978 1 47 1 5.4380793089 0.6 6.4 1099 63 3
0 1 1 979 1 54 1 5.4380793089 0.6 6.4 1099 63 3
0 3 0 979 0 68 1 5.4380793089 0.6 6.4 1099 63 3
0 1 1 979 1 53 1 5.4380793089 0.6 6.4 1099 63 3
0 1 0 979 0 58 1 5.4380793089 0.6 6.4 1099 63 3
1 3 1 980 0 50 1 5.4380793089 0.6 6.4 1099 63 3
0 1 1 981 1 48 1 5.4380793089 0.6 6.4 1099 63 3
0 3 0 982 1 45 1 5.4380793089 0.6 6.4 1099 63 3
0 1 0 961 0 44 1 6.6333184333 5 135.6 8512 76 3
2 3 0 961 0 43 1 6.6333184333 5 135.6 8512 76 3
3 1 1 964 1 64 1 6.6333184333 5 135.6 8512 76 3
2 3 0 967 1 65 1 6.6333184333 5 135.6 8512 76 3
4 1 1 969 1 64 1 6.6333184333 5 135.6 8512 76 3
5 1 0 974 1 66 1 6.6333184333 5 135.6 8512 76 3
6 2 0 979 1 60 1 6.6333184333 5 135.6 8512 76 3
2 0 0 985 0 54 1 6.6333184333 5 135.6 8512 76 3
6 1 0 964 0 53 0 6.579251212 -0.1 12.1 757 94 3
2 3 0 970 0 62 0 6.579251212 -0.1 12.1 757 94 3
14 0 1 973 1 58 0 6.579251212 -0.1 12.1 757 94 3
4 1 0 962 1 62 1 6.0867747269 3.2 28.4 1139 88 3
4 1 0 966 0 58 1 6.0867747269 3.2 28.4 1139 88 3
4 1 0 970 0 57 1 6.0867747269 3.2 28.4 1139 88 3
4 1 0 974 0 60 1 6.0867747269 3.2 28.4 1139 88 3
4 1 0 978 0 62 1 6.0867747269 3.2 28.4 1139 88 3
4 0 0 982 0 59 1 6.0867747269 3.2 28.4 1139 88 3
4 1 0 962 0 55 0 6.56526497 2.1 2.6 51 93 3
4 1 0 966 0 50 0 6.56526497 2.1 2.6 51 93 3
4 1 0 974 0 53 0 6.56526497 2.1 2.6 51 93 3
4 1 0 978 0 51 0 6.56526497 2.1 2.6 51 93 3
4 1 0 982 0 56 0 6.56526497 2.1 2.6 51 93 3
1 0 0 986 0 45 0 6.56526497 2.1 2.6 51 93 3
0 1 0 978 0 41 0 6.1527326947 3.9 0.078 1 80 3
0 1 0 979 0 36 0 6.1527326947 3.9 0.078 1 80 3
7 0 0 980 0 61 0 6.1527326947 3.9 0.078 1 80 3
1 3 0 961 0 54 0 6.2538288116 3.9 6.4 49 74 3
1 1 1 962 0 57 0 6.2538288116 3.9 6.4 49 74 3
0 3 0 963 0 54 0 6.2538288116 3.9 6.4 49 74 3
0 3 1 963 0 . 0 6.2538288116 3.9 6.4 49 74 3
2 3 1 963 0 40 0 6.2538288116 3.9 6.4 49 74 3
0 3 1 965 0 . 0 6.2538288116 3.9 6.4 49 74 3
0 3 1 965 1 45 0 6.2538288116 3.9 6.4 49 74 3
0 1 1 965 1 32 0 6.2538288116 3.9 6.4 49 74 3
0 1 0 965 0 44 0 6.2538288116 3.9 6.4 49 74 3
4 2 0 978 0 67 0 6.2538288116 3.9 6.4 49 74 3
4 1 0 982 0 56 0 6.2538288116 3.9 6.4 49 74 3
1 3 1 961 0 42 0 5.9401712527 4.6 9.4 284 85 3
2 3 1 963 1 48 0 5.9401712527 4.6 9.4 284 85 3
0 1 1 966 0 62 0 5.9401712527 4.6 9.4 284 85 3
1 1 0 966 0 45 0 5.9401712527 4.6 9.4 284 85 3
4 3 1 972 1 49 0 5.9401712527 4.6 9.4 284 85 3
2 1 1 976 1 50 0 5.9401712527 4.6 9.4 284 85 3
1 1 0 978 1 . 0 5.9401712527 4.6 9.4 284 85 3
2 2 0 979 0 38 0 5.9401712527 4.6 9.4 284 85 3
3 1 0 981 0 41 0 5.9401712527 4.6 9.4 284 85 3
3 0 0 984 0 53 0 5.9401712527 4.6 9.4 284 85 3
0 3 1 960 1 . 1 5.8579331545 -0.2 4.8 21 65 3
0 3 1 961 1 . 1 5.8579331545 -0.2 4.8 21 65 3
0 1 1 961 1 . 1 5.8579331545 -0.2 4.8 21 65 3
5 1 0 962 1 40 1 5.8579331545 -0.2 4.8 21 65 3
5 1 0 967 1 50 1 5.8579331545 -0.2 4.8 21 65 3
5 1 0 972 1 45 1 5.8579331545 -0.2 4.8 21 65 3
2 3 0 977 1 43 1 5.8579331545 -0.2 4.8 21 65 3
1 3 1 979 1 43 1 5.8579331545 -0.2 4.8 21 65 3
1 1 1 980 0 55 1 5.8579331545 -0.2 4.8 21 65 3
2 1 0 982 0 56 1 5.8579331545 -0.2 4.8 21 65 3
5 3 0 974 0 52 0 6.0402547113 0.9 0.1 0.34 85 3
4 3 1 979 0 36 0 6.0402547113 0.9 0.1 0.34 85 3
0 3 1 983 1 . 0 6.0402547113 0.9 0.1 0.34 85 3
1 1 1 983 0 44 0 6.0402547113 0.9 0.1 0.34 85 3
3 0 0 984 0 66 0 6.0402547113 0.9 0.1 0.34 85 3
3 1 1 963 1 55 1 6.2146080984 2.1 8 109 50 3
4 1 0 966 1 51 1 6.2146080984 2.1 8 109 50 3
4 1 0 970 1 52 1 6.2146080984 2.1 8 109 50 3
4 1 0 974 1 44 1 6.2146080984 2.1 8 109 50 3
4 1 0 978 0 54 1 6.2146080984 2.1 8 109 50 3
0 3 0 982 1 56 1 6.2146080984 2.1 8 109 50 3
1 3 1 982 1 56 1 6.2146080984 2.1 8 109 50 3
3 1 1 983 1 53 1 6.2146080984 2.1 8 109 50 3
1 0 0 986 0 44 1 6.2146080984 2.1 8 109 50 3
18 2 0 966 0 43 1 6.0161571597 0.5 0.79 215 85 3
2 0 0 985 0 56 1 6.0161571597 0.5 0.79 215 85 3
15 3 0 971 0 20 1 5.2983173665 1.1 5.9 28 23 3
1 0 1 985 1 54 1 5.2983173665 1.1 5.9 28 23 3
11 3 1 963 1 42 1 5.7683209958 0.6 4.4 112 56 3
